word|example|translation|example_translation|familiarity
importieren|Importiere eine neue CSV mit weiteren Wörtern.|to import|Import a new CSV with more words.|0
abspielen|Spiele Wörter und Beispiele automatisch ab.|to play (audio)|Play words and examples automatically.|0
pausieren|Pausiere die Wiedergabe bei Bedarf.|to pause|Pause the playback if needed.|0
fortsetzen|Setze die Wiedergabe später fort.|to resume|Resume playback later.|0
überspringen|Überspringe bekannte Zeilen mit einem Klick.|to skip|Skip known rows with one click.|0
wiedergeben|Gib die Sätze langsamer oder schneller wieder.|to play back|Play the sentences slower or faster.|0
leiserstellen|Stelle die Lautstärke etwas leiser ein.|to lower volume|Set the volume a bit lower.|0
lauterstellen|Stelle die Lautstärke etwas lauter ein.|to raise volume|Set the volume a bit higher.|0
stumm schalten|Schalte die Wiedergabe kurz stumm.|to mute|Mute the playback briefly.|0
vorlesen|Der Browser liest den Satz deutlich vor.|to read aloud|The browser reads the sentence clearly.|0
betonen|Betone das Verb, um es zu merken.|to stress/emphasize|Emphasize the verb to remember it.|0
unterbrechen|Unterbrich die Übung, wenn du müde bist.|to interrupt|Interrupt the exercise when you are tired.|0
fortfahren|Fahre später an derselben Stelle fort.|to continue|Continue later at the same spot.|0
verlangsamen|Verlangsame das Tempo für schwierige Wörter.|to slow down|Slow down the speed for difficult words.|0
beschleunigen|Beschleunige die Sätze für mehr Herausforderung.|to speed up|Speed up the sentences for more challenge.|0
umschalten|Schalte zwischen hell und dunkel im Design um.|to toggle|Toggle between light and dark in the design.|0
speichern|Speichere deinen Fortschritt im Browser.|to save|Save your progress in the browser.|0
laden|Lade gespeicherte Einstellungen beim Start.|to load|Load saved settings at startup.|0
zurücksetzen|Setze Filter und Tempo auf Standard zurück.|to reset|Reset filters and speed to default.|0
verkleinern|Verkleinere die Schrift bei kleinen Bildschirmen.|to reduce|Reduce the font on small screens.|0
vergrößern|Vergrößere die Tabelle für bessere Sicht.|to enlarge|Enlarge the table for better view.|0
scrollen|Scrolle langsam durch die Liste.|to scroll|Scroll slowly through the list.|0
suchen|Suche ein Wort mit dem Eingabefeld.|to search|Search a word with the input field.|0
finden|Finde passende Beispiele zum Verb.|to find|Find suitable examples for the verb.|0
ersetzen|Ersetze ein Wort, wenn es falsch ist.|to replace|Replace a word when it is wrong.|0
korrigieren|Korrigiere Tippfehler sofort.|to correct|Correct typos immediately.|0
hinzufügen|Füge neue Zeilen mit einfachen Sätzen hinzu.|to add|Add new rows with simple sentences.|0
entfernen|Entferne doppelte Einträge aus der Liste.|to remove|Remove duplicate entries from the list.|0
prüfen|Prüfe die Übersetzung mit einem Wörterbuch.|to check|Check the translation with a dictionary.|0
vergleichen|Vergleiche ähnliche Verben im Kontext.|to compare|Compare similar verbs in context.|0
sortieren|Sortiere nach Häufigkeit für schnelles Lernen.|to sort|Sort by frequency for fast learning.|0
bewahren|Bewahre regelmäßige Pausen für bessere Konzentration.|to maintain|Maintain regular breaks for better focus.|0
beenden|Beende die Sitzung mit einem kurzen Review.|to end|End the session with a short review.|0
starten|Starte morgen mit zehn neuen Verben.|to start|Start tomorrow with ten new verbs.|0
durchhalten|Halte täglich zwanzig Minuten konsequent durch.|to persevere|Persevere for twenty minutes daily.|0
belohnen|Belohne dich nach dem Lernen mit Musik.|to reward|Reward yourself with music after studying.|0
teilen|Teile deine Liste mit einem Lernpartner.|to share|Share your list with a study partner.|0
abmachen|Wir machen eine feste Lernzeit am Abend ab.|to agree/arrange|We arrange a fixed study time in the evening.|0
eintragen|Trage die Lernzeit in den Kalender ein.|to enter|Enter the study time into the calendar.|0
aufschreiben|Schreibe neue Ideen sofort auf.|to write down|Write down new ideas immediately.|0
durchlesen|Lies die Beispiele einmal ruhig durch.|to read through|Read through the examples calmly once.|0
lautlesen|Lies die Sätze laut für bessere Aussprache.|to read aloud|Read the sentences aloud for better pronunciation.|0
mitlesen|Lies beim Hören leise mit.|to read along|Read along quietly while listening.|0
abschalten|Schalte Benachrichtigungen während der Übung ab.|to switch off|Turn off notifications during practice.|0
konzentrieren|Konzentriere dich auf klare Aussprache.|to concentrate|Concentrate on clear pronunciation.|0
notieren|Notiere schwierige Wörter für später.|to note|Note difficult words for later.|0
wiederholen|Wiederhole bekannte Sätze schneller.|to repeat|Repeat familiar sentences faster.|0
anwenden|Wende neue Wörter in eigenen Sätzen an.|to apply|Apply new words in your own sentences.|0
aufbauen|Baue Stück für Stück deinen Wortschatz auf.|to build up|Build up your vocabulary step by step.|0
anrufen|Ich rufe dich heute Abend kurz an.|to call|I will call you briefly this evening.|0
telefonieren|Wir telefonieren morgen nach dem Mittag.|to talk on the phone|We will talk on the phone tomorrow after lunch.|0
mailen|Ich maile dir die Datei noch heute.|to email|I’ll email you the file today.|0
simsen|Er simst mir eine kurze Nachricht.|to text|He texts me a short message.|0
chatten|Wir chatten später über das Projekt.|to chat|We’ll chat later about the project.|0
posten|Sie postet ein Foto vom See.|to post|She posts a photo of the lake.|0
folgen|Ich folge dem Kanal für Tipps.|to follow|I follow the channel for tips.|0
liken|Viele liken das neue Video.|to like (online)|Many people like the new video.|0
teilen|Bitte teile den Link mit mir.|to share|Please share the link with me.|0
abonnieren|Ich abonniere den Podcast sofort.|to subscribe|I subscribe to the podcast immediately.|0
entabonnieren|Er entabonniert wegen zu vieler Mails.|to unsubscribe|He unsubscribes because of too many emails.|0
senden|Ich sende die Einladung an alle.|to send|I send the invitation to everyone.|0
empfangen|Der Router empfängt ein schwaches Signal.|to receive|The router receives a weak signal.|0
verbinden|Wir verbinden Laptop und Beamer.|to connect|We connect the laptop and projector.|0
trennen|Bitte trenne das USB-Kabel sicher.|to disconnect|Please disconnect the USB cable safely.|0
klicken|Klicke auf „Start“, um zu beginnen.|to click|Click “Start” to begin.|0
tippen|Tippe deinen Namen in das Feld.|to type|Type your name into the field.|0
wischen|Wische nach links für mehr Optionen.|to swipe|Swipe left for more options.|0
scrollen|Scroll bitte bis zum Ende.|to scroll|Please scroll to the end.|0
zoomen|Zoome in das Bild für Details.|to zoom|Zoom into the picture for details.|0
suchen|Suche nach „Einstellungen“ im Menü.|to search|Search for “Settings” in the menu.|0
finden|Ich finde die Option unter „Audio“.|to find|I find the option under “Audio.”|0
öffnen|Öffne die App mit einem Tipp.|to open|Open the app with one tap.|0
schließen|Schließe das Fenster nach der Eingabe.|to close|Close the window after entering.|0
minimieren|Minimiere das Programm kurz.|to minimize|Minimize the program for a moment.|0
maximieren|Maximiere das Fenster für volle Größe.|to maximize|Maximize the window for full size.|0
aktualisieren|Aktualisiere die Seite mit F5.|to refresh|Refresh the page with F5.|0
laden|Die Seite lädt gerade neue Inhalte.|to load|The page is loading new content.|0
speichern|Speichere regelmäßig, um nichts zu verlieren.|to save|Save regularly to lose nothing.|0
sichern|Sichere deine Daten einmal täglich.|to back up|Back up your data once daily.|0
wiederherstellen|Stelle die Datei aus dem Backup wieder her.|to restore|Restore the file from the backup.|0
installieren|Installiere die Schrift aus dem Paket.|to install|Install the font from the package.|0
deinstallieren|Deinstalliere die alte Version zuerst.|to uninstall|Uninstall the old version first.|0
konfigurieren|Konfiguriere das Mikrofon in den Optionen.|to configure|Configure the microphone in the options.|0
prüfen|Prüfe die Rechte des Ordners.|to check|Check the folder permissions.|0
freigeben|Gib den Ordner für alle frei.|to share (network)|Share the folder with everyone.|0
sperren|Sperre den Bildschirm bei Pausen.|to lock|Lock the screen during breaks.|0
entsperren|Entsperre mit PIN oder Finger.|to unlock|Unlock with PIN or finger.|0
anmelden|Melde dich mit E-Mail an.|to sign in|Sign in with email.|0
abmelden|Melde dich nach der Arbeit ab.|to sign out|Sign out after work.|0
registrieren|Registriere dich kostenlos auf der Seite.|to register|Register for free on the site.|0
bestätigen|Bestätige die Anmeldung per Link.|to confirm|Confirm the registration via link.|0
verifizieren|Verifiziere dein Konto mit Code.|to verify|Verify your account with a code.|0
ablegen|Lege die Datei im Ordner „Docs“ ab.|to put/place|Place the file in the “Docs” folder.|0
ablegen (Prüfung)|Ich lege nächste Woche die Prüfung ab.|to sit (an exam)|I sit the exam next week.|0
ablegen (Gewohnheit)|Ich lege eine schlechte Gewohnheit ab.|to drop|I drop a bad habit.|0
aufmachen|Mach bitte das Fenster auf.|to open (colloq.)|Please open the window.|0
zumachen|Mach die Tür leise zu.|to close (colloq.)|Close the door quietly.|0
anmachen|Mach das Licht bitte an.|to switch on|Please turn on the light.|0
ausmachen|Mach das Licht nachher aus.|to switch off|Turn the light off later.|0
hochfahren|Der PC fährt langsam hoch.|to boot up|The PC boots up slowly.|0
herunterfahren|Fahre den Computer ordentlich herunter.|to shut down|Shut the computer down properly.|0
neustarten|Starte das Gerät einmal neu.|to restart|Restart the device once.|0
aufwecken|Wecke den Laptop aus dem Ruhezustand.|to wake up|Wake the laptop from sleep.|0
einschlafen|Das Tablet schläft nach fünf Minuten ein.|to go to sleep|The tablet goes to sleep after five minutes.|0
koppeln|Kopple die Kopfhörer per Bluetooth.|to pair|Pair the headphones via Bluetooth.|0
entkoppeln|Entkopple das alte Gerät zuerst.|to unpair|Unpair the old device first.|0
drucken|Drucke die Liste auf einer Seite.|to print|Print the list on one page.|0
scannen|Scanne das Dokument als PDF.|to scan|Scan the document as a PDF.|0
faxen|Wir faxen den Vertrag heute.|to fax|We fax the contract today.|0
unterscheiden|Unterscheide Ton und Stimme.|to distinguish|Distinguish tone and voice.|0
erkennen|Das Programm erkennt deine Sprache.|to recognize|The program recognizes your speech.|0
aufnehmen|Nimm den Satz mit dem Mikro auf.|to record|Record the sentence with the mic.|0
abspielen|Spiel die Aufnahme langsam ab.|to play|Play the recording slowly.|0
vorspulen|Spule zehn Sekunden nach vorn.|to fast-forward|Fast-forward ten seconds.|0
zurückspulen|Spule etwas zurück, bitte.|to rewind|Please rewind a little.|0
stopp|Stopp die Wiedergabe sofort.|to stop|Stop the playback immediately.|0
pausieren|Pausiere an der markierten Stelle.|to pause|Pause at the marked spot.|0
fortsetzen|Setze danach die Übung fort.|to resume|Then resume the exercise.|0
loopen|Loope den Satz fünfmal.|to loop|Loop the sentence five times.|0
mischen|Mische die Reihenfolge der Sätze.|to shuffle|Shuffle the order of sentences.|0
filtern|Filtere nur schwierige Zeilen.|to filter|Filter only difficult rows.|0
sortieren|Sortiere nach Bekanntheit aufsteigend.|to sort|Sort ascending by familiarity.|0
markieren|Markiere neue Wörter mit Stern.|to mark|Mark new words with a star.|0
entmarkieren|Entmarkiere, wenn du sicher bist.|to unmark|Unmark when you are sure.|0
bewerten|Bewerte den Satz mit drei Sternen.|to rate|Rate the sentence with three stars.|0
anheben|Heb die Lautstärke leicht an.|to raise|Raise the volume slightly.|0
senken|Senke die Geschwindigkeit minimal.|to lower|Lower the speed a little.|0
wechseln|Wechsle die Stimme bei Bedarf.|to switch|Switch the voice if needed.|0
beibehalten|Behalte die aktuelle Einstellung.|to keep|Keep the current setting.|0
speichern (Einstellung)|Speichere die Stimme als Standard.|to save|Save the voice as default.|0
zurücksetzen (Einstellung)|Setze alles auf Standard zurück.|to reset|Reset everything to default.|0
übernehmen|Übernimm die Änderungen sofort.|to apply|Apply the changes immediately.|0
verwerfen|Verwirf die nicht gespeicherten Änderungen.|to discard|Discard unsaved changes.|0
bestätigen (Dialog)|Bestätige mit „OK“ im Dialog.|to confirm|Confirm with “OK” in the dialog.|0
abbrechen|Brich den Vorgang bei Fehler ab.|to cancel|Cancel the process on error.|0
fortfahren (Assistent)|Fahre im Assistenten weiter.|to continue|Continue in the wizard.|0
überspringen (Schritt)|Überspringe den optionalen Schritt.|to skip|Skip the optional step.|0
anzeigen|Zeige die Hilfe im Fenster an.|to display|Display the help in the window.|0
ausblenden|Blende die Hilfe bei Bedarf aus.|to hide|Hide the help if needed.|0
einblenden|Blende die Tipps wieder ein.|to show|Show the tips again.|0
sammeln (Feedback)|Sammle Feedback nach jeder Sitzung.|to collect|Collect feedback after each session.|0
auswerten (Feedback)|Werte das Feedback am Ende aus.|to analyze|Analyze the feedback at the end.|0
verbessern (Plan)|Verbessere deinen Lernplan wöchentlich.|to improve|Improve your study plan weekly.|0
anpassen (Plan)|Passe das Tempo flexibel an.|to adjust|Adjust the pace flexibly.|0
reduzieren|Reduziere die tägliche Menge leicht.|to reduce|Reduce the daily amount slightly.|0
erhöhen|Erhöhe die Pausen zwischen Blöcken.|to increase|Increase breaks between blocks.|0
wechseln (Modus)|Wechsle in den Fokus-Modus.|to switch|Switch to focus mode.|0
deaktivieren (Modus)|Deaktiviere den Dunkelmodus vorerst.|to disable|Disable dark mode for now.|0
aktivieren (Modus)|Aktiviere den Hellmodus tagsüber.|to enable|Enable light mode during the day.|0
registrieren (Fortschritt)|Registriere deinen Fortschritt täglich.|to record|Record your progress daily.|0
protokollieren|Protokolliere Zeit und Anzahl.|to log|Log time and count.|0
vergleichen (Woche)|Vergleiche diese Woche mit letzter.|to compare|Compare this week with last.|0
feiern|Feiere kleine Erfolge bewusst.|to celebrate|Consciously celebrate small successes.|0
durchhalten|Halte jeden Tag kurz durch.|to persist|Persist briefly every day.|0
einüben|Übe schwierige Laute gezielt ein.|to practice|Practice difficult sounds specifically.|0
nachschlagen|Schlage Wörter in einem Glossar nach.|to look up|Look up words in a glossary.|0
mitmachen|Mach bei der Übung aktiv mit.|to participate|Participate actively in the exercise.|0
zuhören|Höre anderen Lernenden aufmerksam zu.|to listen|Listen attentively to other learners.|0
zusehen|Sieh zu, wie die Trainerin spricht.|to watch|Watch how the trainer speaks.|0
nachmachen|Mach die Bewegung langsam nach.|to imitate|Imitate the movement slowly.|0
ausprobieren|Probiere eine neue Technik aus.|to try out|Try out a new technique.|0
bewahren (Ruhe)|Bewahre Ruhe bei Fehlern.|to keep|Keep calm when making mistakes.|0
zulassen (Fehler)|Lass kleine Fehler am Anfang zu.|to allow|Allow small mistakes at first.|0
korrigieren (Aussprache)|Korrigiere die Aussprache sanft.|to correct|Gently correct pronunciation.|0
betonen (Silbe)|Betone die erste Silbe deutlich.|to stress|Stress the first syllable clearly.|0
abschreiben|Schreibe den Satz einmal ab.|to copy (by hand)|Copy the sentence once by hand.|0
umformulieren|Formuliere den Satz einfacher um.|to rephrase|Rephrase the sentence more simply.|0
zusammenstellen|Stelle deine Lieblingssätze zusammen.|to compile|Compile your favorite sentences.|0
aussortieren|Sortiere alte Beispiele aus.|to sort out|Sort out old examples.|0
behalten|Behalte nur klare Beispiele.|to keep|Keep only clear examples.|0
ersetzen (Beispiel)|Ersetze die Zeile durch eine bessere.|to replace|Replace the row with a better one.|0
mischen (Wörter)|Mische Wörter und Sätze im Mix.|to mix|Mix words and sentences together.|0
gruppieren|Gruppiere nach Thema oder Zeit.|to group|Group by topic or time.|0
taggen|Tagge Zeilen mit „einfach“ oder „neu“.|to tag|Tag rows with “easy” or “new.”|0
enttaggen|Enttagge, wenn du sicher bist.|to remove tag|Remove tag when you are sure.|0
bewahren (Backup)|Bewahre Backups extern auf.|to keep|Keep backups externally.|0
sichern (Export)|Sichere wöchentlich einen Export.|to back up|Back up an export weekly.|0
wiederholen (Spaced)|Wiederhole mit Abständen für Gedächtnis.|to repeat|Repeat with spacing for memory.|0
planen (Tag)|Plane feste Zeiten am Morgen.|to plan|Plan fixed times in the morning.|0
priorisieren|Priorisiere kurze, klare Sätze.|to prioritize|Prioritize short, clear sentences.|0
begrenzen|Begrenze jede Sitzung auf 20 Minuten.|to limit|Limit each session to 20 minutes.|0
notieren (Ziel)|Notiere ein kleines Tagesziel.|to note|Note a small daily goal.|0
anzeigen (Ziel)|Zeige das Ziel oben an.|to display|Display the goal at the top.|0
abhaken (Ziel)|Hake das Ziel nachher ab.|to tick off|Tick off the goal afterwards.|0
belohnen (Ziel)|Belohne dich nach dem Ziel.|to reward|Reward yourself after the goal.|0
vorbereiten (Material)|Bereite Material am Abend vor.|to prepare|Prepare material in the evening.|0
aufräumen (Schreibtisch)|Räume den Schreibtisch kurz auf.|to tidy|Tidy the desk briefly.|0
ordnen (Dateien)|Ordne Dateien nach Datum.|to arrange|Arrange files by date.|0
bündeln|Bündle ähnliche Sätze zusammen.|to bundle|Bundle similar sentences together.|0
lösen (Problem)|Löse kleine Probleme sofort.|to solve|Solve small problems immediately.|0
vermeiden (Ablenkung)|Vermeide Ablenkung mit Fokus-Zeit.|to avoid|Avoid distraction with focus time.|0
aktivieren (Fokus)|Aktiviere den Fokus-Timer jetzt.|to activate|Activate the focus timer now.|0
deaktivieren (Fokus)|Deaktiviere nach zwanzig Minuten.|to deactivate|Deactivate after twenty minutes.|0
auswählen|Wähle heute nur zehn Zeilen aus.|to select|Select only ten rows today.|0
abwählen|Wähle die anderen Zeilen ab.|to deselect|Deselect the other rows.|0
anklicken|Klicke das Wort für Audio an.|to click|Click the word for audio.|0
doppelklicken|Doppelklicke, um zu wiederholen.|to double-click|Double-click to repeat.|0
ziehen (Drag)|Ziehe Zeilen in eine neue Gruppe.|to drag|Drag rows into a new group.|0
ablegen (Drop)|Lege sie in der Gruppe ab.|to drop|Drop them in the group.|0
exportieren (CSV)|Exportiere alles als CSV.|to export|Export everything as CSV.|0
importieren (CSV)|Importiere neue CSV mit Übungen.|to import|Import a new CSV with exercises.|0
prüfen (Format)|Prüfe Spalten vor dem Import.|to check|Check columns before import.|0
bereinigen|Bereinige doppelte Einträge.|to clean|Clean duplicate entries.|0
vereinheitlichen|Vereinheitliche die Großschreibung.|to standardize|Standardize capitalization.|0
kürzen|Kürze zu lange Beispiele leicht.|to shorten|Shorten overly long examples slightly.|0
erweitern|Erweitere knappe Beispiele sanft.|to extend|Gently extend short examples.|0
anreichern|Reichere Sätze mit Alltag an.|to enrich|Enrich sentences with daily life.|0
illustrieren|Illustriere Regeln mit Beispielen.|to illustrate|Illustrate rules with examples.|0
erklären (einfach)|Erkläre Begriffe mit einfachen Worten.|to explain|Explain terms with simple words.|0
prüfen (Aussprache)|Prüfe die Aussprache im Audio.|to check|Check pronunciation in the audio.|0
üben (Aussprache)|Übe die Endungen deutlich.|to practice|Practice the endings clearly.|0
variieren|Variiere Tempo und Stimme leicht.|to vary|Vary speed and voice slightly.|0
wechseln (Thema)|Wechsle das Thema nach zehn Sätzen.|to change|Change the topic after ten sentences.|0
durchmischen|Mische alte mit neuen Sätzen.|to intermix|Intermix old with new sentences.|0
aufwärmen|Wärme dich mit leichten Sätzen auf.|to warm up|Warm up with easy sentences.|0
abschließen|Schließe mit zwei bekannten Sätzen ab.|to finish|Finish with two familiar sentences.|0
ausruhen (Augen)|Gönn den Augen kurze Ruhe.|to rest|Give your eyes a short rest.|0
trinken|Trinke etwas Wasser zwischendurch.|to drink|Drink some water in between.|0
atmen (tief)|Atme zweimal tief durch.|to breathe|Take two deep breaths.|0
strecken|Strecke Arme und Rücken kurz.|to stretch|Stretch arms and back briefly.|0
hinsetzen|Setz dich bequem an den Tisch.|to sit down|Sit comfortably at the table.|0
aufstehen|Steh kurz auf und geh.|to stand up|Stand up briefly and walk.|0
zurückkehren|Kehre dann konzentriert zurück.|to return|Then return with focus.|0
unterbrechen (kurz)|Unterbrich kurz für eine Pause.|to interrupt|Interrupt briefly for a break.|0
fortführen|Führe danach die Übung fort.|to continue|Then continue the exercise.|0
vorziehen|Ziehe leise Räume lauten vor.|to prefer|Prefer quiet rooms to loud ones.|0
meiden|Meide Handy-Ablenkung beim Lernen.|to avoid|Avoid phone distraction while studying.|0
abschalten (Netz)|Schalte mobile Daten kurz ab.|to switch off|Switch off mobile data briefly.|0
anlassen|Lass WLAN für Audio an.|to leave on|Leave Wi-Fi on for audio.|0
sammeln (Mut)|Sammle Mut für lautes Sprechen.|to gather|Gather courage for speaking aloud.|0
zählen (Wiederholungen)|Zähle Wiederholungen mit.|to count|Count repetitions too.|0
erreichen (Ziel)|Erreiche dein Tagesziel früh.|to reach|Reach your daily goal early.|0
überschreiten (Ziel)|Überschreite es nur leicht.|to exceed|Exceed it only slightly.|0
abschätzen|Schätze Zeit und Kraft realistisch.|to estimate|Estimate time and energy realistically.|0
anhalten|Halte an, wenn du müde bist.|to stop|Stop when you are tired.|0
weitermachen|Mach später motiviert weiter.|to keep going|Continue later with motivation.|0
anlächeln|Lächle dich im Spiegel an.|to smile at|Smile at yourself in the mirror.|0
loben (selbst)|Lobe dich für Fortschritt.|to praise|Praise yourself for progress.|0
anerkennen|Erkenne kleine Schritte an.|to acknowledge|Acknowledge small steps.|0
notieren (Dank)|Notiere wofür du dankbar bist.|to note|Note what you are grateful for.|0
planen (Belohnung)|Plane eine kleine Belohnung.|to plan|Plan a small reward.|0
genießen|Genieße eine kurze Pause bewusst.|to enjoy|Consciously enjoy a short break.|0
lächeln|Lächle und atme ruhig.|to smile|Smile and breathe calmly.|0
starten (neu)|Starte die App frisch neu.|to start|Start the app fresh again.|0
heben (Motivation)|Heb deine Motivation mit Musik.|to lift|Lift your motivation with music.|0
senken (Tempo)|Senke das Tempo für Klarheit.|to lower|Lower the pace for clarity.|0
sammeln (Beispiele)|Sammle Beispiele aus Alltag.|to collect|Collect examples from daily life.|0
auswählen (Thema)|Wähle ein Thema pro Tag.|to choose|Choose one topic per day.|0
durcharbeiten|Arbeite zehn Sätze gründlich durch.|to work through|Work through ten sentences thoroughly.|0
übertragen (eigene)|Übertrage sie in eigene Wörter.|to transfer|Transfer them into your own words.|0
sprechen (frei)|Sprich frei über das Thema.|to speak|Speak freely about the topic.|0
aufzeichnen|Zeichne dich kurz mit dem Handy auf.|to record|Record yourself briefly with the phone.|0
anhören|Höre dir die Aufnahme an.|to listen to|Listen to the recording.|0
vergleichen (Aufnahme)|Vergleiche mit dem Modell.|to compare|Compare with the model.|0
verbessern (nächste)|Verbessere die nächste Aufnahme.|to improve|Improve the next recording.|0
wiederholen (täglich)|Wiederhole die Routine täglich.|to repeat|Repeat the routine daily.|0
ausbauen|Baue langsam Dauer und Menge aus.|to expand|Slowly expand duration and amount.|0
erhalten (Routine)|Erhalte deine Routine beständig.|to maintain|Maintain your routine consistently.|0
anpassen (Alltag)|Passe sie deinem Alltag an.|to adjust|Adjust it to your daily life.|0
teilen (Erfolg)|Teile Erfolge mit Freunden.|to share|Share successes with friends.|0
motivieren (andere)|Motiviere andere mit Tipps.|to motivate|Motivate others with tips.|0
unterstützen|Unterstütze neue Lernende freundlich.|to support|Support new learners kindly.|0
fragen (Hilfe)|Frage bei Bedarf um Hilfe.|to ask|Ask for help if needed.|0
annehmen (Hilfe)|Nimm Hilfe dankbar an.|to accept|Accept help gratefully.|0
zurückgeben (Hilfe)|Gib Hilfe später zurück.|to give back|Give help back later.|0
eintragen (Community)|Trage Ideen in die Community ein.|to add|Add ideas to the community.|0
moderieren|Moderiere Gespräche respektvoll.|to moderate|Moderate conversations respectfully.|0
respektieren|Respektiere verschiedene Wege.|to respect|Respect different approaches.|0
ermutigen (weiter)|Ermutige zum Dranbleiben.|to encourage|Encourage to keep going.|0
abschließen (Tag)|Schließe den Tag zufrieden ab.|to finish|Finish the day satisfied.|0
reflektieren|Reflektiere kurz, was gut lief.|to reflect|Briefly reflect on what went well.|0
planen (morgen)|Plane drei Sätze für morgen.|to plan|Plan three sentences for tomorrow.|0
schlafen|Schlafe ausreichend und ruhig.|to sleep|Sleep sufficiently and calmly.|0
aufstehen (früh)|Steh früh auf zum Üben.|to get up|Get up early to practice.|0
durchführen|Führe die Session wie geplant durch.|to carry out|Carry out the session as planned.|0
nachbereiten|Bereite die Notizen kurz nach.|to follow up|Briefly follow up the notes.|0
archivieren (Tag)|Archiviere den Tagesstand.|to archive|Archive the daily status.|0
weitergehen|Gehe morgen einfach weiter.|to move on|Just move on tomorrow.|0
vertrauen|Vertraue dem Prozess geduldig.|to trust|Trust the process patiently.|0
kochen|Ich koche heute eine einfache Suppe.|to cook|I am cooking a simple soup today.|0
backen|Wir backen am Sonntag frisches Brot.|to bake|We bake fresh bread on Sunday.|0
braten|Er brät das Gemüse in wenig Öl.|to fry|He fries the vegetables in a little oil.|0
schneiden|Schneide die Zwiebel in kleine Stücke.|to cut|Cut the onion into small pieces.|0
würzen|Würze die Suppe mit Salz und Pfeffer.|to season|Season the soup with salt and pepper.|0
mischen|Mische Reis mit Gemüse und Soße.|to mix|Mix rice with vegetables and sauce.|0
rühren|Rühre die Soße langsam mit dem Löffel.|to stir|Stir the sauce slowly with the spoon.|0
probieren|Probiere die Suppe und sag Bescheid.|to taste|Taste the soup and let me know.|0
servieren|Serviere das Essen auf warmen Tellern.|to serve|Serve the food on warm plates.|0
decken|Decke bitte schnell den Tisch.|to set|Please set the table quickly.|0
abräumen|Räume nach dem Essen den Tisch ab.|to clear|Clear the table after the meal.|0
spülen|Ich spüle die Teller mit der Hand.|to wash dishes|I wash the plates by hand.|0
abwaschen|Wir waschen Töpfe und Pfannen ab.|to do the dishes|We wash pots and pans.|0
abtrocknen|Er trocknet das Besteck sorgfältig ab.|to dry|He dries the cutlery carefully.|0
einräumen|Räume das Geschirr in die Spülmaschine ein.|to load|Load the dishes into the dishwasher.|0
ausräumen|Räume die sauberen Tassen aus.|to unload|Unload the clean cups.|0
einkaufen|Ich kaufe Obst und Milch im Laden.|to shop|I buy fruit and milk at the store.|0
bezahlen|Wir bezahlen an der Kasse bar.|to pay|We pay in cash at the checkout.|0
einpacken|Packe die Sachen in die Tasche ein.|to pack|Pack the things into the bag.|0
auspacken|Packe die Einkäufe zu Hause aus.|to unpack|Unpack the groceries at home.|0
aufbewahren|Bewahre das Gemüse im Kühlschrank auf.|to store|Store the vegetables in the fridge.|0
kühlen|Kühle das Getränk vor dem Servieren.|to chill|Chill the drink before serving.|0
erwärmen|Erwärme die Suppe kurz in der Mikrowelle.|to warm|Warm the soup briefly in the microwave.|0
kochen lassen|Lass die Soße zwei Minuten kochen.|to let boil|Let the sauce boil for two minutes.|0
abschmecken|Schmecke die Suppe am Ende ab.|to season to taste|Season the soup at the end to taste.|0
portionieren|Portioniere den Reis mit einem Becher.|to portion|Portion the rice with a cup.|0
aufteilen|Teile den Kuchen in acht Stücke.|to divide|Divide the cake into eight pieces.|0
bestellen|Ich bestelle heute eine Pizza.|to order|I’m ordering a pizza today.|0
liefern|Sie liefern das Essen schnell nach Hause.|to deliver|They deliver the food quickly to home.|0
abholen|Wir holen die Bestellung selbst ab.|to pick up|We pick up the order ourselves.|0
öffnen (Laden)|Der Laden öffnet um neun Uhr.|to open|The store opens at nine o’clock.|0
schließen (Laden)|Der Markt schließt um sechs Uhr.|to close|The market closes at six o’clock.|0
fragen|Ich frage nach dem Preis der Tomaten.|to ask|I ask for the price of the tomatoes.|0
empfehlen|Er empfiehlt frisches Brot vom Bäcker.|to recommend|He recommends fresh bread from the baker.|0
vergleichen|Vergleiche die Preise bei zwei Läden.|to compare|Compare the prices at two stores.|0
wählen|Wähle die reifen Bananen aus.|to choose|Choose the ripe bananas.|0
wiegen|Wiege das Obst auf der Waage.|to weigh|Weigh the fruit on the scale.|0
einlegen|Lege das Gemüse über Nacht ein.|to marinate|Marinate the vegetables overnight.|0
aufladen|Lade deine Karte an der Kasse auf.|to top up|Top up your card at the checkout.|0
tauschen|Tausche die Ware mit Kassenbon um.|to exchange|Exchange the goods with the receipt.|0
zurückgeben|Gib die Flaschen morgen zurück.|to return|Return the bottles tomorrow.|0
recyceln|Wir recyceln Papier und Glas.|to recycle|We recycle paper and glass.|0
säubern|Säubere den Tisch mit einem Tuch.|to clean|Clean the table with a cloth.|0
wischen|Wische den Boden mit wenig Wasser.|to mop|Mop the floor with a little water.|0
kehren|Kehre den Balkon am Abend.|to sweep|Sweep the balcony in the evening.|0
staubsaugen|Ich sauge das Wohnzimmer gründlich.|to vacuum|I vacuum the living room thoroughly.|0
lüften|Lüfte die Wohnung zehn Minuten.|to air|Air the apartment for ten minutes.|0
ordnen|Ordne Bücher nach Größe und Thema.|to arrange|Arrange books by size and topic.|0
